年  龄,男,女,合计
0,60217,32026,28191
1,17367,9892,7475
2,9799,5711,4088
3,6914,4160,2754
4,5511,3356,2155
5,4968,2996,1972
6,4357,2762,1595
7,3936,2598,1338
8,3892,2559,1333
9,4030,2706,1324
10,4396,2875,1521
11,4338,2805,1533
12,4537,3006,1531
13,4604,3031,1573
14,5213,3526,1687
15,6275,4274,2001
16,6880,4717,2163
17,8109,5598,2511
18,8641,5995,2646
19,10564,7504,3060
20,13050,9191,3859
21,12065,8446,3619
22,12679,8824,3855
23,12806,8922,3884
24,11952,8355,3597
25,11494,8064,3430
26,11061,7740,3321
27,12317,8518,3799
28,13190,9350,3840
29,12599,8825,3774
30,13995,9688,4307
31,15034,10472,4562
32,14996,10571,4425
33,16202,11463,4739
34,19733,13610,6123
35,22384,15779,6605
36,24888,17366,7522
37,28131,19676,8455
38,30003,20932,9071
39,35125,24629,10496
40,39300,27046,12254
41,42524,29347,13177
42,42431,29240,13191
43,42068,29121,12947
44,50030,34357,15673
45,54649,37390,17259
46,59633,40973,18660
47,64187,43964,20223
48,43939,29892,14047
49,40123,27227,12896
50,49492,33605,15887
51,55588,37527,18061
52,72292,49052,23240
53,76879,51532,25347
54,83146,55172,27974
55,94053,62481,31572
56,96048,63398,32650
57,100623,66046,34577
58,99894,65347,34547
59,103721,67545,36176
60,118638,77562,41076
61,110728,71860,38868
62,114366,73579,40787
63,116624,74539,42085
64,125804,79529,46275
65,124800,78547,46253
66,122638,77255,45383
67,137516,86094,51422
68,145807,90754,55053
69,164901,102357,62544
70,175623,107716,67907
71,181582,109876,71706
72,207060,124995,82065
73,210487,125045,85442
74,224901,131762,93139
75,227775,132263,95512
76,225631,129498,96133
77,236672,133744,102928
78,230686,128903,101783
79,241930,132732,109198
80,246089,131789,114300
81,226148,117884,108264
82,225524,115076,110448
83,197111,98400,98711
84,186832,90555,96277
85,173491,81929,91562
86,154752,70580,84172
87,130709,57799,72910
88,119712,51324,68388
89,107798,45046,62752
90,87529,35266,52263
91,65603,24686,40917
92,53659,19450,34209
93,41085,14115,26970
94,31693,10531,21162
95,25044,8079,16965
96,18883,5966,12917
97,13729,4127,9602
98,9986,2984,7002
99,7087,2136,4951
100岁及以上,16485,4671,11814
